pickup_hour,trips,mae_minutes,bias_minutes
0,10691,2.728928874547827,-0.13885316898163244
1,7682,2.678719807116919,-0.0911321207056933
2,5538,2.3500120192347174,0.039274000846447235
3,4111,2.3958298089072816,0.14449507626100402
4,3110,2.5164046483300546,0.20680938266334212
5,2988,2.3225840748640363,0.2963635228276784
6,6616,2.144313664990012,0.10564486588973712
7,11038,2.816808264428872,0.10122187769294765
8,13420,3.217219411000703,0.02635326730186786
9,13479,3.358158621781676,0.03406043854263444
10,13034,3.293345189909812,0.06223907374761908
11,13838,3.538923950570874,-0.10521827305046577
12,14282,3.492743543341857,-0.0850352045172635
13,14252,3.5760297146990365,0.17300053326227013
14,14799,3.629386992537115,-0.05706618605178564
15,14280,3.6814537109932046,-0.15280247457847268
16,12916,3.673509816216194,0.06803199225622383
17,15075,3.5175203219671776,-0.06564392632731265
18,18176,3.2023031677096405,0.0044909626002169805
19,17992,2.823387627176356,0.003576386180387635
20,16706,2.5783093064375255,-0.06390866886771412
21,16715,2.5982400653297173,-0.020248092715722754
22,16180,2.8133562795608347,-0.004609787303656838
23,13922,2.790910054482975,0.07442732072143406
